"Company", "Logo", "Size", "Position Title", "Type Of Contract", "Role", "Description", "Location", "Career Page", "Created Time", "Tags", "Compensation Estimate", "Contact" 
"Rockstar Recruiting", "https://image.remoteful.dev/uploads/company/logo/6571/797ad2d3-ce22-4707-beaa-da818fa02326.jpg", "N/A", "Smart Contract Developer (Solidity)", "N/A", "N/A", "Our client is ranking among the Top 200 on Coinmarketcap and the Founder team is active in Blockchain since 2016.Their mission is to automate every administrative and operational process within the asset management industry.It`s a remote first culture with passion for open-source projects.Strong Requirements:- Having worked on Smart Contracts and the Ethereum Virtual Machine (EVM)- Developing complex smart contracts- relevant hands-on experience (minimum 1y) with SoliditySoft Requirements:- remote work experience- exposure to DeFi protocols- open source projects", "WORLDWIDE", "N/A", "Dec 30", "🌏 WORLDWIDE


    
      SOFTWARE DEVELOPMENT
    
      SOLIDITY
    
      EVM
    
      JAVASCRIPT", "N/A", "N/A" 
"GOhiring GmbH", "https://image.remoteful.dev/placeholder.png", "N/A", "QA Manager:in", "N/A", "N/A", "Als strategischer Technologie-Partner für datenbasiertes Recruiting vernetzt GOhiring Arbeitgeber, Bewerbermanagementsysteme, Agenturen und Jobbörsen. Wir sind seit mehr als 10 Jahren am Markt und arbeiten seit Tag eins 100% remote. Mit GOhiring Analytics schaffen wir Transparenz über die Wirkungen von Recruitingmaßnahmen und bieten den Marktteilnehmern so die Sicherheit, die jeweils beste Lösung für ihre aktuellen Herausforderungen zu identifizieren.
Mit GOhiring Multiposting stellen wir die besten Verbindungen zu über 500 Jobbörsen im DACH-Raum her. Hinter GOhiring stehen schon jetzt 25+ ausgewiesene Spezialist:innen – und wir haben noch viel vor.Deine Rolle


Qualität als Ziel: Du sicherst die Qualität unserer Plattform und Produkte. Deinen Job hast du gut gemacht, wenn unsere externen und internen Nutzer:innen zufrieden sind. Dabei arbeitest du remote, aber eng mit unserem Team zusammen.

Testmanagement (QA): Du begleitest und entwickelst nicht nur neue Software-Funktionalitäten, sondern bist auch dafür verantwortlich, dass unsere Tests immer besser werden. Dazu optimierst du bestehende Testkonzepte. Neue Testcases erstellst du für Frontendsysteme sowie für API Features anhand von Userstories (via Runscope und Postman).

Teamwork: Du stimmst dich eng mit dem kleinen QA-Team sowie mit Produktmanager:innen und -Entwickler:innen ab und koordinierst dich agil (Kanban Prozess).

Dokumentation und Kundensupport: Du dokumentierst Funktionalitäten und Prozesse. Du hilfst unseren Kund:innen bei technischen Detailfragen auf Deutsch oder Englisch weiter.
Dein Profil
Abgeschlossenes jobrelevantes Studium, idealerweise in Informatik oder Wirtschaftsinformatik
Leidenschaft für agile Softwareentwicklung 
Mindestens ein Jahr Erfahrung in der Qualitätssicherung (gern auch in Form eines Studierendenjobs) 
Erfahrungen mit Tool-gestütztem Testing (Runscope, Postman oder Ähnliches)
Praxiserprobte mündliche wie schriftliche Englisch- und Deutschkenntnisse
Ideal wären darüber hinaus: Erfahrungen mit dem Testen von APIs oder im technischen Kundensupport
Wir bieten

Verantwortung von Anfang an: Eine echte Gestaltungsaufgabe für Macher:innen – mit umfassender Verantwortung für ein großes Thema.

Remote Work: Arbeite von dort, wo du am produktivsten bist - sei es zu Hause, auf Reisen oder in unserem Office in Berlin.

Arbeiten ohne Korsett: Freue dich auf Prozesse und Mindsets, die zu 100% auf zeitflexibles und ortsunabhängiges Arbeiten ausgerichtet sind.

Mehr als ein Job - Zukunft entdecken: Du arbeitest am Herzstück der Digitalisierung im Recruiting und entdeckst vielleicht den Job deines Lebens.

Bring your own device - we pay: Für deinen mobilen Job erhältst du ein Laptop und ein technisches Setup deiner Wahl.

Im kleinen Team Großes Bewegen: Wir glauben daran, dass kleine Teams mehr Spaß machen. Direkter Austausch, viel Gestaltungsspielraum, voneinander Lernen, das ist unser Verständnis von Produktivität.

Du möchtest gemeinsam an der Zukunft des Recruiting arbeiten?
Dann schick uns einfach Deinen Lebenslauf oder LinkedIn / Xing Profil. Wir freuen uns darauf, mehr über Dich zu erfahren!
Diversität und Chancengleichheit sind uns wichtig. Wir freuen uns über das Interesse aller Kandidat:innen und bemühen uns um schnelles Feedback.", "WORLDWIDE", "N/A", "Dec 30", "🌏 WORLDWIDE

    
      💰 $60K - $80K

    
      QUALITY ASSURANCE
    
      QUALITY ASSURANCE", "N/A", "N/A" 
"Orchest", "https://image.remoteful.dev/uploads/company/logo/10883/e1a68c04-02c3-4439-8d49-d581bc4bbd44.png", "N/A", "Front-end Engineer - TypeScript/React", "N/A", "N/A", "Why we're looking for you

Orchest started out as an open source project with the goal of making technical complexities that data scientists have to deal with disappear. We have grown into a company to empower data teams across the world through better data science tools.

To continue our fast-paced growth, we are building a world-class fully-distributed engineering team. You'll help us get there by owning the frontend of the Orchest product, supporting our users, and ultimately playing a key role in the growth of Orchest.


What you'll do

Orchest consists of an advanced client side application built in TypeScript and React. In addition, it features a micro services style Python based backend to which the browser client connects. We expect you to bring your skill set and experience to further develop the product by owning the full client side experience.

More specifically, in this role you will:

Develop the Orchest core product, which involves many interesting problems, both technical (e.g. 'implementing our drag and drop system in a performant way') and conceptual (e.g. 'how do users expect this feature to work?')
Develop the Orchest Cloud offering to, among other things, make sure users have a smooth onboarding experience
Debug customer problems and build features to solve them
Shape and build the Orchest product, culture and company

We often make product decisions based on customer feedback, so you’ll have the opportunity to build something that solves real customer needs. You’ll also weigh in on our product roadmap as an end-user yourself (we love dogfooding Orchest whenever we can!).
What we look for

5+ years experience in professional software development, ideally some of which you’ve spent in startups
TypeScript and React expertise
Ability to make technical decisions quickly
GNU/Linux or macOS working experience
A getting-things-done mindset and the motivation to keep improving
Being able to keep up with the pace, we work quickly!

What gives you an edge

Experience in Python
Experience with container technologies like Docker
Experience with open source
Not shying away from taking on additional responsibilities
Data science familiarity (reasoning how product changes will impact our end users)


What we offer you$90k – $120k • 0.25% – 0.5%Apply now

Send an email to [email protected] or apply directly through AngelList. Please make sure to attach your resume.", "EUROPE-ONLY", "N/A", "Dec 30", "🇪🇺 EUROPE-ONLY

    
      💰 $90K - $120K

    
      FRONT END
    
      TYPESCRIPT
    
      REACT", "N/A", "N/A" 
"Orchest", "https://image.remoteful.dev/uploads/company/logo/6253/bb6411f6-0ae3-491c-b2b3-a353751dd56b.png", "N/A", "Backend Engineer - Cloud Infrastructure", "N/A", "N/A", "Orchest is an open source project with the goal of making technical complexity that data scientists have to deal with disappear. We've built a company around the project to achieve our bigger goal of empowering data teams across the world through better data science tools.To continue our fast-paced growth, we are building a world-class fully-distributed engineering team. You'll help us get there by owning our Orchest Cloud offering, supporting our users, and ultimately playing a key role in the growth of Orchest.What you'll doThe Orchest core product backend has a containerized micro services architecture based on Python/Django. The Orchest Cloud infrastructure, which will be your main responsibility, is built on Heroku and AWS using IaC, custom networking architecture, Python, Django, and Celery. We’ll look to you to bring your skillset and experience to build within this environment and impact our codebase.More specifically, in this role you will:

Build and maintain scalable cloud infrastructure that runs Orchest
Help us develop the Orchest core product, with special emphasis on the container based runtime backend.
Improve the Python/Django based dashboard that currently powers the Orchest Cloud
Understand how the open source project can best be offered to the customers through a managed hosted version
Improve the reliability and monitoring of the Orchest Cloud
Shape and build the Orchest product, culture, and company

We often make product decisions based on customer feedback, so you’ll have the opportunity to build something that solves real customer needs. You’ll also weigh in on our product roadmap as an end-user yourself (we love dogfooding Orchest whenever we can!).What we look for


5+ years experience in professional software development, ideally some of which you’ve spent in startups
Python expertise
Experience with cloud based infrastructure like AWS or GCP
Experience with container technologies like Docker and Kubernetes
Ability to make technical decisions quickly
Advanced GNU/Linux experience
A getting-it-done mindset and interest to keep improving
Being able to keep up with the pace, we work quickly!

What gives you an edge

Experience writing JavaScript/TypeScript
Experience with Heroku
History of contributing to Open Source Software
Data science familiarity (reasoning how changes will impact our end users).


Apply nowSend an email to [email protected]. Please make sure to attach your resume.", "EUROPE-ONLY", "N/A", "Dec 30", "🇪🇺 EUROPE-ONLY


    
      BACK END
    
      KUBERNETES
    
      PYTHON
    
      CLOUD", "N/A", "N/A" 
"Reviewable", "https://image.remoteful.dev/uploads/company/logo/6221/79c008f3-769a-46f1-9d20-2cbae87e6cb7.png", "N/A", "Lead Product Designer", "N/A", "N/A", "Hey there 👋! Reviewable is growing quickly and we're looking for an experienced Product Designer to help us continue to delight developers around the world.
Reviewable is a code review tool for GitHub pull requests that makes the process of serious reviews thorough yet efficient. It's not for everyone but the teams that need it swear by it. However, as Reviewable has grown organically over the years its design hasn't kept pace, and the most common complaint from potential users today is that the UI looks confusing and the workflow feels foreign. That's where you come in!
Responsibilities:
Propose and design changes and new features, working closely with developers and informed by user feedback.
Revamp the onboarding flow and keep it and the documentation up to date as the tool evolves.
Over time, overhaul Reviewable's core design to better align with user expectations, without losing the magic that made it popular in the first place.
Update the app's visual design and ensure it works well across all devices.
Contribute to other areas (e.g., marketing, development, customer support) as your skills and inclinations allow.
As the sole designer on the team, you'll get to do it all.
You might be a fit if:
You have significant experience as a product designer.
You have experience working on developer tools, or as a developer.
You can strike a good balance between finding the perfect solution and shipping something fast.
You're confident crafting HTML and CSS and comfortable with Git version control.
Your written and visual communication skills are excellent.

Who we are and why you should join:
Reviewable is a very small bootstrapped company that was run solely by its founder for many years. This is not a VC-backed rocket ship, but we are growing steadily and expanding our team as we do so. Even though we're small we offer the usual benefits: health insurance, 401K, flexible hours, unlimited vacation time, etc. We're remote work natives, but we hope to supplement that with occasional in-person gatherings as the pandemic recedes. We move fast, unencumbered by committees or office politics; everyone reports directly to the CEO/founder.
Please get in touch if you find the challenge of designing developer tools intriguing and aren't afraid of leading the charge. You'll have an outsized impact on the product and ultimately help bend the company's trajectory upward!", "USA-ONLY", "N/A", "Dec 30", "🇺🇸 USA-ONLY


    
      DESIGN
    
      UX
    
      UI
    
      PRODUCT DESIGN
    
      HTML
    
      CSS
    
      SENIOR
    
      B2B", "N/A", "N/A" 
"Supernow", "https://image.remoteful.dev/placeholder.png", "N/A", "Fullstack Software Engineer", "N/A", "N/A", "The Company👋 We’re Supernow - a venture-backed, kid’s interactive edutainment platform on a mission to make learning more magical and joyful while instilling value soft skills like creativity, empathy, leadership and gratitude that aren’t taught in school.We’re creating an entirely new way for kids to learn, play and interact online through our “Superverse” of engaging characters and immersive digital learning experiences. This is a safe space for kids to get their imaginations fired up, bodies moving, and social skills sharpened instead of turning into screen zombies and video game addicts. We are using technology to enable kids to engage directly with each other and our beloved cast of Supernow characters (imagine watching Sesame Street but engaging directly with Elmo!) and join teams to drive the storylines themselves in choose-your-own-adventure style classes. Our characters are played by multi-talented creatives who we work with to co-create their one-of-a-kind classes and bring them to life on our platform.We’re building the next irresistible kids brand that every family in America will know and love and we’re growing FAST. With top investors behind us including First Round Capital and Slow Ventures, and a small but mighty core team, we’re ready to make that a reality.That’s where you come in. We’re looking for a fullstack software engineer who’s excited about joining our development team to help our dreams become a reality.The RoleAs the second member of the engineering team at Supernow, you’ll be responsible for feature development across our stack. You’ll help architect and implement our new live class experience as well as our customer-facing website.Our Tech Stack
Our frontend is built on Next.js, React/TypeScript, and Apollo GraphQL
Our backend is Phoenix and Elixir backed by PostgreSQL, hosted on AWS

Who We’re Looking For

You have 5+ years of fullstack development experience. You’re comfortable designing and implementing APIs alongside their interactive UI counterparts.

You’re excited by functional programming. Elixir is a purely functional language, and our React frontend is entirely Function Components. You share an interest in using functional programming to improve reliability, reduce bugs, and enjoy writing code. No previous functional programming experience is necessary. 
You are comfortable working independently. We’re a very small team with a lot of big ideas. You’re excited by the idea of tackling big problems autonomously. You don’t like being micromanaged, and know when to ask for help.
You’re scrappy, entrepreneurial and collaborative. You thrive in fast-paced environments and are willing to roll up your sleeves no matter what the challenge is. We’re a small startup with huge ambitions, so you don’t have any problems pitching in even if the task doesn’t fall squarely in your job description.
You’re biased to action. You like to build and ship, and favor choices that get us answers faster (rather than perfectly). You focus on things that matter, push back on things that don’t, and ship quickly.
You are a strong communicator and are able to explain complex concepts to a wide audience. You are proactive when it comes to keeping the team abreast to progress.
You’re joyful, optimistic and passionate. You have a certain fire, energy and positive outlook that drives you in everything you do. People gravitate to you for your good vibes :) You believe anything is possible, especially with a kickass team at your side.
You care deeply about positively shaping the next generation. You’re driven by helping kids everywhere grow up happier, healthier and with a deep curiosity for learning.  You believe that there are better ways to educate and engage kids that leverage media, technology and community to make it magical.What We Can Offer You
Remote-friendly culture, with optional NYC office space.
A competitive salary and early-stage stock options
Subsidized healthcare, dental and vision
Unlimited PTO
A parent-friendly culture
Whatever equipment you need, and a generous career education stipend to spend on your preferred workshops, books etc.
What else? We're new, shape it with us!

Ready to Apply?Email us a resume and a short cover letter explaining why you’d be an excellent fit to [email protected] At Supernow, we value diversity and always treat all employees and job applicants based on merit, qualifications, competence, and talent. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.", "USA-ONLY", "N/A", "Dec 30", "🇺🇸 USA-ONLY

    
      💰 $120K - $150K

    
      SOFTWARE DEVELOPMENT
    
      REACT
    
      ELIXIR
    
      PHOENIX", "N/A", "N/A" 
"CodeSandbox", "https://image.remoteful.dev/uploads/company/logo/8530/d34be376-49b7-4b75-bfcf-ad5f95a5a371.png", "N/A", "Senior Fullstack Engineer", "N/A", "N/A", "At CodeSandbox we're building a collaborative online development platform that makes it easy for anyone to build web applications. We're used by over 3 million people on a monthly basis, and we're looking for Senior Full Stack Engineers with advanced TypeScript skills, who can help us build the next iteration of CodeSandbox that will allow you to run any kind of project from anywhere.
As Senior Full Stack Engineer you'll have the opportunity to design and work on the next-generation collaborative IDE we're building. You'll be part of various key projects that will highly impact the experience of hundreds of thousands of CodeSandbox users.
You have worked at scale before and are used to designing and documenting architecture in a product-driven team environment. Communication in this role is key, as you'll be scoping and convincing your colleagues of key design choices. It's not the first time you have built frameworks, apps, or services from scratch. In this role some of our core values are key and we are curious about how you:
Collaborate closely with other engineers and designers.
Empower yourself and others by enabling them to learn from you.

Job requirements

Location: Anywhere -4 to +3 UTC (currently Daylight Savings, otherwise -5 to +2 UTC). That's anywhere between US and EU Eastern Time.
Full-time: At CodeSandbox this means 40 flexible hours Mon through Fri.
As a Senior Full Stack Engineer, you'll...
Design and architect the systems used for interfacing between CodeSandbox client and the underlying container running the end-user code.
Develop a binary WebSocket protocol for CodeSandbox's collaborative and real-time sharing features.
Design for a delightful user experience, finding ways to introduce optimistic UI patterns and network resilience using operational transformation (OT) and conflict-free replicated data types (CRDTs).
Develop and maintain open source libraries to allow our community to build CodeSandbox integrations and plugins for editors and IDEs.
Build and maintain functional, contract, performance, and load-testing test suites to instill confidence in the code we ship to production.
Build and maintain performance-critical or safety-critical tools and services in lower-level languages, like Rust.
That said, these role responsibilities are just the start! At CodeSandbox, we encourage you to pursue wherever your interests take you. You'll have a chance to shape your role accordingly.

About you
You'll thrive as a Senior Full Stack Engineer if you:
Are a senior who leads by example, are a strong spoken and written communicator, and you empower those around you to do the best work they can.
Are a 'T-shaped' generalist developer. You have your areas of expertise, but aren't afraid to contribute to any part of the technology stack.
Are comfortable building and using advanced TypeScript features and patterns: Generics, Utility Types, Type Guards, Mixins, and Decorators are all tools of the trade.
Have experience identifying and isolating performance bottlenecks in a system, making good use of structured logging, tracing, instrumentation, and monitoring tools.
Have strong proficiency with React, its state-management systems, and have a good understanding of its reconciliation system.
Ideally, you care about user experience and have a strong interest in product and infrastructure design.
If you don’t meet 100% of the above qualifications, you should still consider applying. Studies show that you can still be considered for a role if you meet just 50% of the role’s requirements.

About us
At CodeSandbox we work from the idea that software development should be more accessible and collaborative. It should be possible for anyone to create an application if they have a great idea, and there should be no hassle in sharing this with others. We follow this mentality not only in how we build our product, but also in how we work with each other.
Whenever we start a new project, we include everyone on the team to help out. We expect everyone to be open to helping each other and generally encourage everyone to work together.
At CodeSandbox, we're offering:
A friendly, remote-first working environment.
Competitive salary & equity.
Flexible working hours.
Unlimited paid time off, affordance-based. We expect you to take a minimum of 25 days.
Work equipment of your choice.
Educational & Personal Development Budget.
Annual health & wellness stipend.
Freedom to create and run your own project.
Parental leave for the moms and dads among us.
If you share our enthusiasm for making development more accessible and collaborative, we'd love to review your application!", "WORLDWIDE", "N/A", "Dec 30", "🌏 WORLDWIDE


    
      BACK END
    
      TYPESCRIPT
    
      NODE", "N/A", "N/A" 
"Generally Intelligent", "https://image.remoteful.dev/uploads/company/logo/6296/db6c69cd-6734-4572-9431-0b0f150e5e92.png", "N/A", "Remote Software Engineer", "N/A", "N/A", "Summary

As a remote software engineer, you’ll work very closely with a senior member of our research team on cutting-edge deep learning research, infrastructure, and tooling towards the goal of creating general human-like machine intelligence.

Example projects

Implement a self-supervised network using contrastive and reconstruction losses.
Create a library on top of PyTorch to enable efficient network architecture search.
Open source internal tools.
Implement networks from newly published papers.
Work on tools for simple distributed parallel training of deep neural networks.
Develop more realistic simulations for training our agents.
Design automated methods and tools to prevent common issues with neural network training (e.g. overfitting,    vanishing gradients, dead ReLUs, etc).
Create visualizations to help us deeply understand what our networks learn and why.

You are

Very comfortable writing Python.
Familiar with PyTorch and training deep neural networks.
Excited to work on open source code.
Passionate about engineering best practices.
Self-directed and independent.
Excellent at getting things done.

Benefits

Work directly on creating software with human-like intelligence
Very generous compensation
Flexible working hours
Work remotely
Time and budget for learning and self improvement

About us

We started Generally Intelligent because we believe that software with human-level intelligence will have a transformative impact on the world. We’re dedicated to ensuring that that impact is a positive one.

We have enough funding to last for decades, and our backers include Y Combinator, researchers from OpenAI, Threshold, and a number of private individuals who care about effective altruism and scientific research.

Our research is focused primarily on self-supervised and generative video and audio models. We’re excited about opportunities to use simulated data, network architecture search, and good theoretical understanding of deep learning to make progress on these problems. We take a focused, engineering-driven approach to research.

To apply

Email your resume to [email protected]", "WORLDWIDE", "N/A", "Dec 30", "🌏 WORLDWIDE


    
      SOFTWARE DEVELOPMENT
    
      PYTHON
    
      PYTORCH
    
      MACHINE LEARNING
    
      AI
    
      STARTUPS", "N/A", "N/A" 
"Tribes.AI", "https://image.remoteful.dev/uploads/company/logo/10442/54b17f88-6938-4cd3-9a29-d2cf90f247c6.png", "N/A", "Senior Data Engineer", "N/A", "N/A", "ABOUT THE JOB
We are looking for a Senior Data Engineer to become a core member of our team and to help us wrangle a super interesting dataset with millions of work interactions all loaded into one massive graph database! 
The successful candidate should have a passion for data engineering and the ability to innovate - there will be no instructions booklet, it's up to you and the team to develop a new cutting edge application from scratch while following software engineering best practice. However, above all else, you should enjoy working independently in a startup environment with all the pros and cons that that entails. You would be filling a key senior role in our young team which we think requires at least 4-5 years of hands on data engineering experience but we are known to have made exceptions if we really like someone :)

RESPONSIBILITIES
Your job responsibilities would include ...
Development, automation and scaling of our data pipeline
Implement established best practice where appropriate, innovate where not
Identify, design and implement process improvements (i.e. automate manual processes, re-design infrastructure, etc)
Mentor junior data engineers

ABOUT US

Tribes.AI is a new startup aiming to help build strong high-performance teams with advanced analytics.
Teams today produce a huge amount of data via everyday activities (emails, meetings, chats, files, tasks, code, etc) that can be mined for trends. This data provides powerful insights into team performance and helps management make more informed decisions about their employees, teams, and clients.
The management team at Tribes.AI has already successfully built and sold a large data consulting company, Datalicious. As a result, we understand how valuable our team members are, and how to build working teams that produce results no matter what timezone you are in. We value skilled employees who are at the top of their game, who want to take ownership, and who want to grow with us.
If you want to research us some more, we suggest you check out our current team on LinkedIn, what they say on Glassdoor, and our funding progress on Crunchbase.

OUR PERKS
All team members are offered the following perks ...
Flexible working hours (i.e. we don't care when you work, within reason, as long as the work gets done)
Working from home (i.e. we don't care from where you work, whatever makes you most productive)
Working from home expenses (i.e. we pay for your home Internet and any other reasonable expenses)
New laptop via EMI purchase (i.e. you buy it and own it but you can expense the monthly repayments)
Unlimited leave (i.e. we don't count days off so take as many as you need as long as the work gets done)
Training courses (i.e. we want you to keep learning so we pay for relevant courses and give you time off)
Share options plan (i.e. once you're past probation you will get access to our employee share options plan)
Opportunity to fast track your career with our highly motivated team

TECHNICAL SKILLS
To be successful, you would need the following skills ...
Excellent problem-solving skills are a must-have
Solid hands-on experience with Apache Airflow is a must-have
Experience developing and maintaining distributed system is another must-have 
Solid understanding of software engineering standards, methods and design principles is a must-have
Hands-on experience with Google Kubernetes would be a big plus
Familiarity with Google Cloud Platform tools in general is a bonus
Experience with graph databases such as Neo4j would be nice
Understanding of GraphQL APIs would also be helpful along the line

SOFT SKILLS
All our team members should be ...
Capable of working with almost no supervision (i.e. be self-driven, able to organize their own tasks, QA their own work and spot their own errors, explore new approaches, manage time frames/deadlines, etc)
Great written and spoken communicators (i.e. solid written and spoken English skills, efficiently use of instant messaging and other remote team platforms, ability to document code/tasks, know when to bother other people with their own problems, etc)
Team workers with a strong collaborative attitude (i.e. interest in other team member's challenges, ready to help with constructive suggestions unasked, never make any fuss about other people's mistakes, positive can-do attitude all around, etc)
Obsessed with perfection and driven by a constant need to optimize (i.e. always wanting to look for a way of doing things even better than they already are, etc)
Hungry for knowledge and passionate about their chosen discipline in the right way (i.e. not merely applying the most fancy algorithms or tools but instead the ones best suited to solve the business problem at hand)
Committed as in ready to stay with us for the long run (i.e. recruitment, on-boarding, and training are extremely time-consuming tasks we do not want to go through time and time again)
Please do NOT apply if ...
You do not know how to write optimized code efficiently (i.e. fast)
You do not have experience managing infrastructure to support pipelines 
You do not feel comfortable working for a startup 
You do not believe in what Tribes.AI is doing", "WORLDWIDE", "N/A", "Dec 30", "🌏 WORLDWIDE


    
      SOFTWARE DEVELOPMENT
    
      DATA-ENGINEERING
    
      PYTHON
    
      KUBERNETES
    
      AIRFLOW
    
      GCP
    
      NEO4J
    
      BIGQUERY", "N/A", "N/A" 
"Baserow", "https://image.remoteful.dev/uploads/company/logo/10908/9b05099f-d82e-4552-b59f-cc2e7b93fd66.png", "N/A", "Senior Full Stack Developer", "N/A", "N/A", "Baserow started as an open source side project maintained by a single developer and has grown to a venture backed start-up. Currently we're a remote and experienced engineering team of four full stack developers focused on building a great open source no-code tool. If you have experience with Django and Vue.js, you want to work on open source software and want to join a startup we'd love to hear from you. 

Job description
You'll be building features from scratch and you have full ownership over the whole process. Build new functionality for internal and external users. Collaborate with the team to improve the codebase and product experience. Your changes have a direct impact. 
It’s our goal to build an open source no-code tool that can be used by everyone, from hobbyist to enterprise. We want our software to be flexible, modular and fast. We have big plans for the future and you can be a part of it in an early phase. 
Want to learn more about our software and tech stack? Take a look at the code at https://gitlab.com/bramw/baserow. In this position you will
Take full ownership of tasks within a small team
Work on open source software, internal tools and our website
Perform code reviews and help other team members if needed
Write high quality and well documented code
Work in a team where the best idea always wins
Design RESTful APIs that provide an outstanding user experience
Requirements
5+ years designing, developing and delivering highly scalable web solutions 
Solid Python and Django knowledge
Experience with JavaScript frameworks like VueJS, React or Angular 
Experience with relational database systems like PostgreSQL or MySQL 
Experience with tools like Docker, GIT, webpack, SCSS, NGINX, pytest, Redis, Celery and eslint 
You live in Europe or in the United Kingdom, in the UTC time zone (London, Lisbon, Dakar) ± 2 hours 
Fluent or native in English
What we offer
A good salary ranging from € 4,000 to € 7,000 based on your location and experience 
A fully remote position at a remote-first company
A € 3000 budget for a laptop and other hardware
Stock options and we are upfront about the amount
A compensation for hot desking in a co-working space
25 paid vacation days per year
Flexibility in your working schedule
Process

Application: Send us your application via email 

Screen: We will screen applications based on fit 

Interviews: Potential candidates will be invited up to two interviews via a video call 

Challenge: Potential candidates will be asked to do a coding challenge by picking up a small issue from the open source backlog 

Offer: Successful candidates will receive an offer 
What it’s like to work at Baserow
Baserow employees have a passion for startups and like getting stuff done without being bogged down by bureaucracy. We practice agile methodologies meaning that our communication is open and that our project management is collaborative. Everyone is encouraged to offer their opinions and you'll be working directly with the founder. Fundamentally we are sensible and transparent company: 
We pick our own hours and when life happens it's not a problem at all 
We trust our employees and won't micromanage you
Feeling like a member of a remote team is important, so at the end of the week we hang out and look at our growth and achievements 
We meet twice a year in person with the whole team", "EUROPE-ONLY", "N/A", "Dec 30", "🇪🇺 EUROPE-ONLY

    
      💰 $50K - $100K

    
      SOFTWARE DEVELOPMENT
    
      FULL STACK
    
      PYTHON
    
      DJANGO
    
      VUE
    
      POSTGRESQL", "N/A", "N/A" 
"vast limits GmbH", "https://image.remoteful.dev/uploads/company/logo/10911/7510dc38-309f-4919-b250-fd4ed4f7ef7c.png", "N/A", "macOS-Entwickler(in) C++", "N/A", "N/A", "Wir sind eine erfolgreiche Softwarefirma, die organisch weiter wachsen möchte. Wir sind inhabergeführt, nicht fremdfinanziert und haben spannende Unternehmenskunden in über 30 Ländern.Über UnsWir sind der Überzeugung, dass Micromanagement tödlich ist für Kreativität und Produktivität. Wir bieten eine offene Arbeitskultur, in der die Mitarbeiter ihren Arbeitsort frei wählen können und sich den Tag selbst einteilen.Wir entwickeln Software für die Unternehmens-IT, weil wir den Markt kennen und die Bedürfnisse von Fachabteilungen und Mitarbeitern verstehen. Wir wissen, wie IT-Profis arbeiten und welche Werkzeuge sie verwenden. Wir wissen auch, wie komplex ein großer Teil der Unternehmenssoftware ist. Wir wollen dazu beitragen, dass sich das ändert.uberAgentUnser Produkt uberAgent bietet tiefe Einsichten in User Experience und Security von physischen PCs und virtuellen Desktops. Mit Hilfe dieser Informationen optimieren unsere Kunden die Geschwindigkeit, Sicherheit und Stabilität der Endgeräte ihrer Mitarbeiter.Die Kombination aus einfacher Bedienung und wertvollen Metriken macht uberAgent zu einem Produkt, mit dem sehr gerne gearbeitet wird. Insofern passt es perfekt zu Splunk, einer leistungsfähigen und gleichzeitig benutzerfreundlichen Big Data-Plattform, die von uberAgent für Datenspeicherung und -visualisierung verwendet wird.Deine Aufgaben
Wir leben Qualität. Bei uns gibt es keine Deadlines, keinen Stress, keinen Termindruck. Du bleibst “im Flow” und machst das, was Du am besten kannst: großartige Software schreiben.Zusammen mit Kollegen bist Du für die Entwicklung unseres Endpoint Agent unter macOS verantwortlich. Manche Teile Deines Codes interagieren low-level mit dem Betriebssystem, andere erweitern unsere auch vom Windows-Agent genutzte plattformunabhängige Codebasis.Das wünschen wir unsDie einzigen Qualifikationen, die uns wirklich wichtig sind, sind der Drang, das bestmögliche Resultat zu erzielen und der Wunsch, jeden Tag etwas dazuzulernen.Daneben erwarten wir:
Begeisterung für Softwareentwicklung
Sehr gute Kenntnisse in C++
Sehr gute Kenntnisse in systemnaher Entwicklung unter macOS
Eigenständiges Arbeiten
Hang zur Perfektion
Sehr gute Deutsch- und Englischkenntnisse
Hauptwohnsitz in Deutschland 
Zusätzlich freuen wir uns über:
Erfahrungen mit Unternehmens-IT (um unsere Kunden besser verstehen zu können)
Community-Engagement, Bloggen, Mitarbeit an freier Software (bitte schicke uns Links zu Projekten) 
Das bieten wir
Remote arbeiten im Home Office
Weitgehend freie Zeiteinteilung
Regelmäßige persönliche Treffen zum Teambuilding
Spannende Kunden auf allen Kontinenten
Überdurchschnittlich hohes Gehalt
Unbefristetes Arbeitsverhältnis
30 Tage Urlaub
Gemeinsame Teilnahme an Fachkonferenzen
Stressfreie Arbeitsumgebung
JobRad-Programm
Steuerfreie Kostenbeteiligung an Sport-/Fitnessstudio 
Unser Tech-StackProgrammiersprachen
Modernes C++ (Agent und Tools)
JavaScript (Browser-Erweiterungen)
PowerShell, Python (nach Bedarf) 
Technologien auf Endpoints
Windows: Systemdienst und Kerneltreiber
macOS: Daemon und Endpoint Security Framework
Browser-Erweiterungen für Chrome, Edge, Firefox, IE, Safari 
 Backend-Plattformen
Splunk
Elastic
Azure Monitor
Apache Kafka", "EUROPE-ONLY", "N/A", "Dec 30", "🇪🇺 EUROPE-ONLY

    
      💰 $110K - $140K

    
      SOFTWARE DEVELOPMENT
    
      MACOS
    
      C++
    
      MONITORING
    
      ANALYTICS
    
      SECURITY
    
      UX", "N/A", "N/A" 
